,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,eval episodes,experiment name,total trainingsteps,total episodes
0,0.037289,200.0,-180.712955,-392.118367,-0.941498,112.122455,11,exp_name: Pendulum-v1_2023-01-30 (TEST),159,352000
0,0.041056,200.0,-216.821903,-458.601708,-1.886053,140.739712,11,exp_name: Pendulum-v1_2023-01-30 (TEST),160,354200
0,0.040171,200.0,-192.283736,-391.196001,-0.898866,134.187142,11,exp_name: Pendulum-v1_2023-01-30 (TEST),161,356400
0,0.038852,200.0,-187.250106,-568.904639,-0.868195,168.769057,11,exp_name: Pendulum-v1_2023-01-30 (TEST),162,358600
0,0.038694,200.0,-268.467141,-517.548471,-1.109856,177.876166,11,exp_name: Pendulum-v1_2023-01-30 (TEST),163,360800
0,0.038522,200.0,-229.380992,-682.25537,-1.46044,183.497765,11,exp_name: Pendulum-v1_2023-01-30 (TEST),164,363000
0,0.039826,200.0,-271.520554,-899.696555,-2.261638,229.487056,11,exp_name: Pendulum-v1_2023-01-30 (TEST),165,365200
0,0.039647,200.0,-188.771528,-482.38474,-1.51635,126.903922,11,exp_name: Pendulum-v1_2023-01-30 (TEST),166,367400
0,0.038052,200.0,-219.192117,-1091.191255,-1.820574,289.118077,11,exp_name: Pendulum-v1_2023-01-30 (TEST),167,369600
0,0.039025,200.0,-167.452425,-371.939576,-0.932588,109.623383,11,exp_name: Pendulum-v1_2023-01-30 (TEST),168,371800
0,0.042023,200.0,-125.548044,-376.62102,-0.834853,104.331417,11,exp_name: Pendulum-v1_2023-01-30 (TEST),169,374000
0,0.03727,200.0,-283.703601,-979.40343,-1.237619,305.877845,11,exp_name: Pendulum-v1_2023-01-30 (TEST),170,376200
0,0.038385,200.0,-406.872679,-987.052842,-1.505792,354.197988,11,exp_name: Pendulum-v1_2023-01-30 (TEST),171,378400
0,0.038149,200.0,-363.472496,-1056.382641,-1.077469,403.732602,11,exp_name: Pendulum-v1_2023-01-30 (TEST),172,380600
0,0.040098,200.0,-303.499138,-923.301893,-1.1388,319.4785,11,exp_name: Pendulum-v1_2023-01-30 (TEST),173,382800
0,0.038856,200.0,-224.804615,-518.731958,-116.330139,148.649559,11,exp_name: Pendulum-v1_2023-01-30 (TEST),174,385000
0,0.038461,200.0,-127.026221,-260.646413,-1.713283,91.146337,11,exp_name: Pendulum-v1_2023-01-30 (TEST),175,387200
0,0.040284,200.0,-239.25045,-514.707766,-1.411886,156.483232,11,exp_name: Pendulum-v1_2023-01-30 (TEST),176,389400
0,0.038296,200.0,-265.722946,-1089.72154,-1.930281,391.470271,11,exp_name: Pendulum-v1_2023-01-30 (TEST),177,391600
0,0.038961,200.0,-136.066799,-247.921068,-1.696373,63.172593,11,exp_name: Pendulum-v1_2023-01-30 (TEST),178,393800
0,0.036881,200.0,-219.574095,-1161.922066,-1.565556,316.334018,11,exp_name: Pendulum-v1_2023-01-30 (TEST),179,396000
0,0.037887,200.0,-394.263487,-1154.654692,-118.046034,369.791637,11,exp_name: Pendulum-v1_2023-01-30 (TEST),180,398200
0,0.039589,200.0,-173.774505,-334.20662,-1.860605,104.398787,11,exp_name: Pendulum-v1_2023-01-30 (TEST),181,400400
0,0.03986,200.0,-329.820189,-1154.596373,-113.780526,361.428185,11,exp_name: Pendulum-v1_2023-01-30 (TEST),182,402600
0,0.037001,200.0,-186.37218,-448.593698,-1.426465,110.694126,11,exp_name: Pendulum-v1_2023-01-30 (TEST),183,404800
0,0.037779,200.0,-239.276473,-1069.000599,-1.307186,275.22381,11,exp_name: Pendulum-v1_2023-01-30 (TEST),184,407000
0,0.036971,200.0,-147.590885,-387.181367,-1.852388,107.330371,11,exp_name: Pendulum-v1_2023-01-30 (TEST),185,409200
0,0.039746,200.0,-222.21891,-526.052799,-3.690902,156.500689,11,exp_name: Pendulum-v1_2023-01-30 (TEST),186,411400
0,0.040435,200.0,-180.354428,-375.91797,-1.588033,121.011785,11,exp_name: Pendulum-v1_2023-01-30 (TEST),187,413600
0,0.038884,200.0,-246.059027,-931.145693,-123.144379,224.361228,11,exp_name: Pendulum-v1_2023-01-30 (TEST),188,415800
0,0.036968,200.0,-226.557868,-477.039415,-1.311509,156.156874,11,exp_name: Pendulum-v1_2023-01-30 (TEST),189,418000
